TestCase,ProcessCount,N,M,P,InputSize,ComputationTime(s),Success,Error
1,1,10001,10001,10001,10001x10001x10001,1.504231,True,
1,2,10001,10001,10001,10001x10001x10001,1.142788,True,
1,4,10001,10001,10001,10001x10001x10001,0.975328,True,
1,8,10001,10001,10001,10001x10001x10001,0.892571,True,
1,16,10001,10001,10001,10001x10001x10001,0.876780,True,
1,32,10001,10001,10001,10001x10001x10001,0.906728,True,
2,1,10001,10001,10001,10001x10001x10001,1.475301,True,
2,2,10001,10001,10001,10001x10001x10001,1.141165,True,
2,4,10001,10001,10001,10001x10001x10001,0.973237,True,
2,8,10001,10001,10001,10001x10001x10001,0.891452,True,
2,16,10001,10001,10001,10001x10001x10001,0.886144,True,
2,32,10001,10001,10001,10001x10001x10001,0.875952,True,
3,1,10001,10001,10001,10001x10001x10001,1.475478,True,
3,2,10001,10001,10001,10001x10001x10001,1.137219,True,
3,4,10001,10001,10001,10001x10001x10001,0.989329,True,
3,8,10001,10001,10001,10001x10001x10001,0.887873,True,
3,16,10001,10001,10001,10001x10001x10001,0.861341,True,
3,32,10001,10001,10001,10001x10001x10001,0.910896,True,
4,1,10001,10001,10001,10001x10001x10001,1.474356,True,
4,2,10001,10001,10001,10001x10001x10001,1.137149,True,
4,4,10001,10001,10001,10001x10001x10001,0.965305,True,
4,8,10001,10001,10001,10001x10001x10001,0.889840,True,
4,16,10001,10001,10001,10001x10001x10001,0.859322,True,
4,32,10001,10001,10001,10001x10001x10001,0.904595,True,
5,1,10001,10001,10001,10001x10001x10001,1.503275,True,
5,2,10001,10001,10001,10001x10001x10001,1.144638,True,
5,4,10001,10001,10001,10001x10001x10001,0.978121,True,
5,8,10001,10001,10001,10001x10001x10001,0.896531,True,
5,16,10001,10001,10001,10001x10001x10001,0.870514,True,
5,32,10001,10001,10001,10001x10001x10001,0.884031,True,
