TestCase,ProcessCount,N,M,P,InputSize,ComputationTime(s),Success,Error
1,1,2,2,2,2x2x2,0.125788,True,
1,2,2,2,2,2x2x2,0.117897,True,
1,4,2,2,2,2x2x2,0.120279,True,
1,8,2,2,2,2x2x2,0.131691,True,
1,16,2,2,2,2x2x2,0.142970,True,
1,32,2,2,2,2x2x2,0.159317,True,
1,64,2,2,2,2x2x2,0.079482,False,ReturnCode:1
1,96,2,2,2,2x2x2,0.031902,False,ReturnCode:1
2,1,3,3,3,3x3x3,0.098251,True,
2,2,3,3,3,3x3x3,0.098765,True,
2,4,3,3,3,3x3x3,0.111897,True,
2,8,3,3,3,3x3x3,0.106487,True,
2,16,3,3,3,3x3x3,0.131787,True,
2,32,3,3,3,3x3x3,0.149459,True,
2,64,3,3,3,3x3x3,0.030325,False,ReturnCode:1
2,96,3,3,3,3x3x3,0.031891,False,ReturnCode:1
3,1,2,3,2,2x3x2,0.097953,True,
3,2,2,3,2,2x3x2,0.098275,True,
3,4,2,3,2,2x3x2,0.099095,True,
3,8,2,3,2,2x3x2,0.105495,True,
3,16,2,3,2,2x3x2,0.131918,True,
3,32,2,3,2,2x3x2,0.143712,True,
3,64,2,3,2,2x3x2,0.030370,False,ReturnCode:1
3,96,2,3,2,2x3x2,0.031730,False,ReturnCode:1
4,1,4,3,2,4x3x2,0.097829,True,
4,2,4,3,2,4x3x2,0.098723,True,
4,4,4,3,2,4x3x2,0.099064,True,
4,8,4,3,2,4x3x2,0.117406,True,
4,16,4,3,2,4x3x2,0.139641,True,
4,32,4,3,2,4x3x2,0.148758,True,
4,64,4,3,2,4x3x2,0.029601,False,ReturnCode:1
4,96,4,3,2,4x3x2,0.030329,False,ReturnCode:1
5,1,3,4,2,3x4x2,0.098684,True,
5,2,3,4,2,3x4x2,0.099255,True,
5,4,3,4,2,3x4x2,0.098322,True,
5,8,3,4,2,3x4x2,0.106274,True,
5,16,3,4,2,3x4x2,0.128380,True,
5,32,3,4,2,3x4x2,0.148905,True,
5,64,3,4,2,3x4x2,0.030839,False,ReturnCode:1
5,96,3,4,2,3x4x2,0.030956,False,ReturnCode:1
6,1,2,2,3,2x2x3,0.097334,True,
6,2,2,2,3,2x2x3,0.098940,True,
6,4,2,2,3,2x2x3,0.100205,True,
6,8,2,2,3,2x2x3,0.108465,True,
6,16,2,2,3,2x2x3,0.131460,True,
6,32,2,2,3,2x2x3,0.145166,True,
6,64,2,2,3,2x2x3,0.031280,False,ReturnCode:1
6,96,2,2,3,2x2x3,0.032071,False,ReturnCode:1
7,1,5,5,5,5x5x5,0.098800,True,
7,2,5,5,5,5x5x5,0.099049,True,
7,4,5,5,5,5x5x5,0.104373,True,
7,8,5,5,5,5x5x5,0.106827,True,
7,16,5,5,5,5x5x5,0.130827,True,
7,32,5,5,5,5x5x5,0.144135,True,
7,64,5,5,5,5x5x5,0.030515,False,ReturnCode:1
7,96,5,5,5,5x5x5,0.030746,False,ReturnCode:1
8,1,6,6,4,6x6x4,0.097842,True,
8,2,6,6,4,6x6x4,0.098549,True,
8,4,6,6,4,6x6x4,0.101052,True,
8,8,6,6,4,6x6x4,0.112280,True,
8,16,6,6,4,6x6x4,0.131178,True,
8,32,6,6,4,6x6x4,0.152724,True,
8,64,6,6,4,6x6x4,0.030746,False,ReturnCode:1
8,96,6,6,4,6x6x4,0.031945,False,ReturnCode:1
9,1,4,6,5,4x6x5,0.098378,True,
9,2,4,6,5,4x6x5,0.098138,True,
9,4,4,6,5,4x6x5,0.099464,True,
9,8,4,6,5,4x6x5,0.105605,True,
9,16,4,6,5,4x6x5,0.130708,True,
9,32,4,6,5,4x6x5,0.153762,True,
9,64,4,6,5,4x6x5,0.031470,False,ReturnCode:1
9,96,4,6,5,4x6x5,0.032956,False,ReturnCode:1
10,1,5,4,6,5x4x6,0.096964,True,
10,2,5,4,6,5x4x6,0.098387,True,
10,4,5,4,6,5x4x6,0.099858,True,
10,8,5,4,6,5x4x6,0.111671,True,
10,16,5,4,6,5x4x6,0.128518,True,
10,32,5,4,6,5x4x6,0.154749,True,
10,64,5,4,6,5x4x6,0.030480,False,ReturnCode:1
10,96,5,4,6,5x4x6,0.030971,False,ReturnCode:1
11,1,7,5,3,7x5x3,0.097933,True,
11,2,7,5,3,7x5x3,0.098365,True,
11,4,7,5,3,7x5x3,0.099264,True,
11,8,7,5,3,7x5x3,0.107792,True,
11,16,7,5,3,7x5x3,0.130796,True,
11,32,7,5,3,7x5x3,0.144920,True,
11,64,7,5,3,7x5x3,0.029828,False,ReturnCode:1
11,96,7,5,3,7x5x3,0.031633,False,ReturnCode:1
12,1,5,7,4,5x7x4,0.098519,True,
12,2,5,7,4,5x7x4,0.098739,True,
12,4,5,7,4,5x7x4,0.100016,True,
12,8,5,7,4,5x7x4,0.113070,True,
12,16,5,7,4,5x7x4,0.137786,True,
12,32,5,7,4,5x7x4,0.159934,True,
12,64,5,7,4,5x7x4,0.030031,False,ReturnCode:1
12,96,5,7,4,5x7x4,0.030987,False,ReturnCode:1
13,1,2,10,3,2x10x3,0.097059,True,
13,2,2,10,3,2x10x3,0.098189,True,
13,4,2,10,3,2x10x3,0.097723,True,
13,8,2,10,3,2x10x3,0.107666,True,
13,16,2,10,3,2x10x3,0.144916,True,
13,32,2,10,3,2x10x3,0.149991,True,
13,64,2,10,3,2x10x3,0.031595,False,ReturnCode:1
13,96,2,10,3,2x10x3,0.031592,False,ReturnCode:1
14,1,3,2,10,3x2x10,0.096931,True,
14,2,3,2,10,3x2x10,0.098382,True,
14,4,3,2,10,3x2x10,0.099354,True,
14,8,3,2,10,3x2x10,0.103909,True,
14,16,3,2,10,3x2x10,0.128375,True,
14,32,3,2,10,3x2x10,0.167980,True,
14,64,3,2,10,3x2x10,0.030542,False,ReturnCode:1
14,96,3,2,10,3x2x10,0.031107,False,ReturnCode:1
15,1,10,3,2,10x3x2,0.098719,True,
15,2,10,3,2,10x3x2,0.097124,True,
15,4,10,3,2,10x3x2,0.099027,True,
15,8,10,3,2,10x3x2,0.105867,True,
15,16,10,3,2,10x3x2,0.132317,True,
15,32,10,3,2,10x3x2,0.153739,True,
15,64,10,3,2,10x3x2,0.030309,False,ReturnCode:1
15,96,10,3,2,10x3x2,0.030396,False,ReturnCode:1
16,1,2,8,4,2x8x4,0.097886,True,
16,2,2,8,4,2x8x4,0.098699,True,
16,4,2,8,4,2x8x4,0.110719,True,
16,8,2,8,4,2x8x4,0.105464,True,
16,16,2,8,4,2x8x4,0.129615,True,
16,32,2,8,4,2x8x4,0.155415,True,
16,64,2,8,4,2x8x4,0.030022,False,ReturnCode:1
16,96,2,8,4,2x8x4,0.030926,False,ReturnCode:1
17,1,8,2,5,8x2x5,0.098117,True,
17,2,8,2,5,8x2x5,0.099084,True,
17,4,8,2,5,8x2x5,0.113126,True,
17,8,8,2,5,8x2x5,0.103398,True,
17,16,8,2,5,8x2x5,0.131717,True,
17,32,8,2,5,8x2x5,0.146100,True,
17,64,8,2,5,8x2x5,0.030182,False,ReturnCode:1
17,96,8,2,5,8x2x5,0.032339,False,ReturnCode:1
18,1,3,12,2,3x12x2,0.098371,True,
18,2,3,12,2,3x12x2,0.099801,True,
18,4,3,12,2,3x12x2,0.099639,True,
18,8,3,12,2,3x12x2,0.105947,True,
18,16,3,12,2,3x12x2,0.140244,True,
18,32,3,12,2,3x12x2,0.150886,True,
18,64,3,12,2,3x12x2,0.030520,False,ReturnCode:1
18,96,3,12,2,3x12x2,0.032254,False,ReturnCode:1
19,1,20,20,20,20x20x20,0.098234,True,
19,2,20,20,20,20x20x20,0.099533,True,
19,4,20,20,20,20x20x20,0.099376,True,
19,8,20,20,20,20x20x20,0.105978,True,
19,16,20,20,20,20x20x20,0.132078,True,
19,32,20,20,20,20x20x20,0.151564,True,
19,64,20,20,20,20x20x20,0.031438,False,ReturnCode:1
19,96,20,20,20,20x20x20,0.030666,False,ReturnCode:1
20,1,15,10,12,15x10x12,0.097979,True,
20,2,15,10,12,15x10x12,0.110735,True,
20,4,15,10,12,15x10x12,0.104615,True,
20,8,15,10,12,15x10x12,0.106985,True,
20,16,15,10,12,15x10x12,0.140874,True,
20,32,15,10,12,15x10x12,0.145411,True,
20,64,15,10,12,15x10x12,0.030547,False,ReturnCode:1
20,96,15,10,12,15x10x12,0.032050,False,ReturnCode:1
21,1,12,15,8,12x15x8,0.097132,True,
21,2,12,15,8,12x15x8,0.098469,True,
21,4,12,15,8,12x15x8,0.106236,True,
21,8,12,15,8,12x15x8,0.120552,True,
21,16,12,15,8,12x15x8,0.131628,True,
21,32,12,15,8,12x15x8,0.154607,True,
21,64,12,15,8,12x15x8,0.031172,False,ReturnCode:1
21,96,12,15,8,12x15x8,0.031884,False,ReturnCode:1
22,1,10,20,5,10x20x5,0.099208,True,
22,2,10,20,5,10x20x5,0.104637,True,
22,4,10,20,5,10x20x5,0.099311,True,
22,8,10,20,5,10x20x5,0.105372,True,
22,16,10,20,5,10x20x5,0.128968,True,
22,32,10,20,5,10x20x5,0.153538,True,
22,64,10,20,5,10x20x5,0.030090,False,ReturnCode:1
22,96,10,20,5,10x20x5,0.031377,False,ReturnCode:1
23,1,5,10,20,5x10x20,0.097334,True,
23,2,5,10,20,5x10x20,0.098536,True,
23,4,5,10,20,5x10x20,0.115206,True,
23,8,5,10,20,5x10x20,0.105304,True,
23,16,5,10,20,5x10x20,0.143801,True,
23,32,5,10,20,5x10x20,0.149873,True,
23,64,5,10,20,5x10x20,0.030991,False,ReturnCode:1
23,96,5,10,20,5x10x20,0.032751,False,ReturnCode:1
24,1,25,25,25,25x25x25,0.097806,True,
24,2,25,25,25,25x25x25,0.100375,True,
24,4,25,25,25,25x25x25,0.099881,True,
24,8,25,25,25,25x25x25,0.109161,True,
24,16,25,25,25,25x25x25,0.133886,True,
24,32,25,25,25,25x25x25,0.148104,True,
24,64,25,25,25,25x25x25,0.030298,False,ReturnCode:1
24,96,25,25,25,25x25x25,0.031597,False,ReturnCode:1
25,1,5,5,5,5x5x5,0.097654,True,
25,2,5,5,5,5x5x5,0.099308,True,
25,4,5,5,5,5x5x5,0.099311,True,
25,8,5,5,5,5x5x5,0.105451,True,
25,16,5,5,5,5x5x5,0.142083,True,
25,32,5,5,5,5x5x5,0.152529,True,
25,64,5,5,5,5x5x5,0.029634,False,ReturnCode:1
25,96,5,5,5,5x5x5,0.030661,False,ReturnCode:1
26,1,6,4,6,6x4x6,0.097017,True,
26,2,6,4,6,6x4x6,0.099992,True,
26,4,6,4,6,6x4x6,0.099272,True,
