TestCase,ProcessCount,N,M,P,InputSize,ComputationTime(s),Success,Error
1,1,1000,1000,1000,1000x1000x1000,0.131649,True,
1,2,1000,1000,1000,1000x1000x1000,0.122205,True,
1,4,1000,1000,1000,1000x1000x1000,0.124187,True,
1,8,1000,1000,1000,1000x1000x1000,0.134150,True,
1,16,1000,1000,1000,1000x1000x1000,0.145085,True,
1,32,1000,1000,1000,1000x1000x1000,0.157467,True,
2,1,2000,1500,1800,2000x1500x1800,0.109948,True,
2,2,2000,1500,1800,2000x1500x1800,0.108891,True,
2,4,2000,1500,1800,2000x1500x1800,0.116859,True,
2,8,2000,1500,1800,2000x1500x1800,0.123488,True,
2,16,2000,1500,1800,2000x1500x1800,0.146415,True,
2,32,2000,1500,1800,2000x1500x1800,0.157281,True,
3,1,5000,3000,4000,5000x3000x4000,0.121630,True,
3,2,5000,3000,4000,5000x3000x4000,0.119410,True,
3,4,5000,3000,4000,5000x3000x4000,0.118283,True,
3,8,5000,3000,4000,5000x3000x4000,0.125780,True,
3,16,5000,3000,4000,5000x3000x4000,0.148896,True,
3,32,5000,3000,4000,5000x3000x4000,0.176761,True,
4,1,10000,10000,10000,10000x10000x10000,0.149006,True,
4,2,10000,10000,10000,10000x10000x10000,0.143711,True,
4,4,10000,10000,10000,10000x10000x10000,0.156876,True,
4,8,10000,10000,10000,10000x10000x10000,0.150443,True,
4,16,10000,10000,10000,10000x10000x10000,0.174700,True,
4,32,10000,10000,10000,10000x10000x10000,0.207396,True,
5,1,8000,2000,6000,8000x2000x6000,0.130400,True,
5,2,8000,2000,6000,8000x2000x6000,0.141617,True,
5,4,8000,2000,6000,8000x2000x6000,0.129706,True,
5,8,8000,2000,6000,8000x2000x6000,0.135348,True,
5,16,8000,2000,6000,8000x2000x6000,0.162852,True,
5,32,8000,2000,6000,8000x2000x6000,0.178713,True,
6,1,2000,8000,4000,2000x8000x4000,0.114814,True,
6,2,2000,8000,4000,2000x8000x4000,0.133822,True,
6,4,2000,8000,4000,2000x8000x4000,0.128667,True,
6,8,2000,8000,4000,2000x8000x4000,0.123944,True,
6,16,2000,8000,4000,2000x8000x4000,0.148718,True,
6,32,2000,8000,4000,2000x8000x4000,0.173620,True,
